#quantity  mean  std  median  err_mediana
#z_correlation_w_lgm_tot_p50
bin_1   8.930026   0.528687   8.900808   0.530495

bin_2   9.345076   0.487112   9.368519   0.539177

bin_3   9.934980   0.397134   9.958786   0.430016

bin_4   10.288774   0.369423   10.334420   0.354606

bin_5   10.511053   0.297514   10.533772   0.323596
